date,PFE
2024-10-04,14.0
2024-10-07,12.0
2024-10-08,11.0
2024-10-09,13.0
2024-10-10,13.0
2024-10-11,14.0
2024-10-14,11.5
2024-10-15,11.0
2024-10-16,14.5
2024-10-17,11.0
2024-10-18,12.0
2024-10-21,10.5
2024-10-22,10.5
2024-10-23,13.0
2024-10-24,11.0
2024-10-25,11.0
2024-10-28,13.5
2024-10-29,12.5
2024-10-30,11.0
2024-10-31,11.5
2024-11-01,12.0
2024-11-04,12.5
2024-11-05,12.5
2024-11-06,12.5
2024-11-07,13.0
2024-11-08,12.0
2024-11-11,11.0
2024-11-12,12.0
2024-11-13,0.0
2024-11-14,13.0
2024-11-15,13.0
2024-11-18,0.0
2024-11-19,10.5
2024-11-20,0.0
2024-11-21,12.0
2024-11-22,14.5
2024-11-25,11.5
2024-11-26,10.5
2024-11-27,14.0
2024-11-29,0.0
2024-12-02,0.0
2024-12-03,0.0
2024-12-04,0.0
2024-12-05,0.0
2024-12-06,0.0
2024-12-09,0.0
2024-12-10,0.0
2024-12-11,0.0
2024-12-12,0.0
2024-12-13,0.0
2024-12-16,0.0
2024-12-17,0.0
2024-12-18,0.0
2024-12-19,0.0
2024-12-20,0.0
2024-12-23,0.0
2024-12-24,0.0
2024-12-26,0.0
2024-12-27,0.0
2024-12-30,0.0
